,total,Taxonomy
Zotu1130,158,Bacteria(100.0);Firmicutes(100.0);Bacilli(100.0);Erysipelotrichales(100.0);Erysipelotrichaceae(100.0);Solobacterium(96.17222222222222);uncultured organism(65.16388888888888)
Zotu1133,176,Bacteria(99.99999999999997);Actinobacteriota(99.99999999999997);Actinobacteria(99.99999999999997);Actinomycetales(99.99999999999997);Actinomycetaceae(99.99999999999997);Actinomyces(99.99999999999997);uncultured bacterium(81.62610939112486)
Zotu1136,207,Bacteria(100.0);Actinobacteriota(100.0);Coriobacteriia(100.0);Coriobacteriales(100.0);Atopobiaceae(100.0);Atopobium(98.42625152625152);uncultured bacterium(58.13693528693526)
Zotu1137,191,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Actinomycetales(100.00000000000001);Actinomycetaceae(100.00000000000001);Actinomyces(100.00000000000001);Schaalia meyeri(65.1904761904762)
Zotu1138,146,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Actinomycetales(100.00000000000001);Actinomycetaceae(100.00000000000001);Actinomyces(100.00000000000001);uncultured bacterium(96.88333333333334)
Zotu1139,227,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Micrococcales(100.00000000000001);Intrasporangiaceae(100.00000000000001);Janibacter(62.91637899684103);uncultured bacterium(9.089895984708214)
Zotu114,9975,Bacteria(99.99999999999997);Firmicutes(99.99999999999997);Bacilli(99.99999999999997);Bacillales(99.99999999999997);Bacillaceae(99.99999999999997);Aeribacillus(99.99999999999997);Aeribacillus pallidus(41.04339643420446)
Zotu1141,166,Bacteria(100.0);Patescibacteria(100.0);Saccharimonadia(100.0);Saccharimonadales(100.0);uncultured bacterium(58.08333333333333);unidentified(100.0);unidentified(100.0)
Zotu1142,148,Bacteria(99.99999999999999);Patescibacteria(99.99999999999999);Saccharimonadia(99.99999999999999);Saccharimonadales(99.99999999999999);uncultured bacterium(58.74999999999999);unidentified(99.99999999999999);unidentified(99.99999999999999)
Zotu1143,138,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);Prevotella buccalis(77.86666666666667)
Zotu1145,166,Bacteria(100.0);Actinobacteriota(100.0);Actinobacteria(100.0);Actinomycetales(100.0);Actinomycetaceae(100.0);Actinomyces(100.0);Schaalia meyeri(64.80476190476192)
Zotu1146,147,Bacteria(99.99999999999997);Campilobacterota(99.99999999999997);Campylobacteria(99.99999999999997);Campylobacterales(99.99999999999997);Campylobacteraceae(99.99999999999997);Campylobacter(99.99999999999997);uncultured bacterium(85.49847715263837)
Zotu1148,147,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);Kingella(82.93095238095239);uncultured bacterium(53.608730158730175)
Zotu1149,156,Bacteria(100.00000000000001);Synergistota(100.00000000000001);Synergistia(100.00000000000001);Synergistales(100.00000000000001);Synergistaceae(100.00000000000001);Fretibacterium(100.00000000000001);uncultured bacterium(36.03223443223443)
Zotu115,9380,Bacteria(99.99999999999997);Proteobacteria(99.99999999999997);Gammaproteobacteria(99.99999999999997);Pasteurellales(99.99999999999997);Pasteurellaceae(99.99999999999997);Haemophilus(99.27347228253001);uncultured bacterium(94.91430597771023)
Zotu1150,201,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Prevotellaceae(99.99999999999999);Prevotella(99.99999999999999);uncultured bacterium(80.83333333333333)
Zotu1151,193,Bacteria(100.0);Actinobacteriota(100.0);Coriobacteriia(100.0);Coriobacteriales(100.0);Atopobiaceae(100.0);Atopobium(99.25);uncultured bacterium(60.59761904761905)
Zotu1152,128,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinobacteria(100.00000000000001);Actinomycetales(100.00000000000001);Actinomycetaceae(100.00000000000001);Actinomyces(100.00000000000001);uncultured bacterium(97.7666666666667)
Zotu1153,235,Bacteria(100.0);Firmicutes(100.0);Bacilli(100.0);Lactobacillales(100.0);Lactobacillaceae(100.0);Lactobacillus(100.0);uncultured bacterium(27.856753817149162)
Zotu1155,192,Bacteria(100.00000000000001);Firmicutes(100.00000000000001);Bacilli(100.00000000000001);Lactobacillales(100.00000000000001);Lactobacillaceae(100.00000000000001);Lactobacillus(100.00000000000001);uncultured bacterium(23.848412698412716)
Zotu1156,217,Bacteria(99.99999999999999);Proteobacteria(99.99999999999999);Gammaproteobacteria(99.99999999999999);Pasteurellales(99.99999999999999);Pasteurellaceae(99.99999999999999);Actinobacillus(86.49523809523808);Haemophilus parahaemolyticus(47.45606060606062)
Zotu1157,225,Bacteria(99.99999999999994);Actinobacteriota(99.99999999999994);Actinobacteria(99.99999999999994);Corynebacteriales(99.99999999999994);Corynebacteriaceae(99.99999999999994);Corynebacterium(99.99999999999994);uncultured bacterium(53.418868907373756)
Zotu1159,264,Bacteria(100.0);Actinobacteriota(100.0);Actinobacteria(100.0);Actinomycetales(100.0);Actinomycetaceae(100.0);Actinomyces(100.0);uncultured bacterium(79.99469285444518)
